Index,num,tm,hh24,n,stn,sum_qctr,sum_load,n_mean_load,nph_ta,nph_hm,nph_ws_10m,nph_rn_60m,nph_ta_chi,weekday,week_name,elec
797905,10976,2022-01-01 01:00:00,1,10,942,21100,3262.2,319.338842922374,3.8,21.9,3.5,0.0,-4.7,5,1,102.15
797906,10976,2022-01-01 02:00:00,2,10,942,21100,2811.8,319.338842922374,3.7,21.8,3.6,0.0,-4.7,5,1,88.05
797907,10976,2022-01-01 03:00:00,3,10,942,21100,2490.12,319.338842922374,3.3,25.2,3.4,0.0,-4.6,5,1,77.98
797908,10976,2022-01-01 04:00:00,4,10,942,21100,2321.4,319.338842922374,3.0,22.9,2.4,0.0,-4.0,5,1,72.69
797909,10976,2022-01-01 05:00:00,5,10,942,21100,2244.0,319.338842922374,3.0,23.6,2.8,0.0,-5.7,5,1,70.27
797910,10976,2022-01-01 06:00:00,6,10,942,21100,2299.52,319.338842922374,2.8,27.3,3.1,0.0,-4.4,5,1,72.01
797911,10976,2022-01-01 07:00:00,7,10,942,21100,2484.56,319.338842922374,3.1,32.1,2.4,0.0,-2.8,5,1,77.8
797912,10976,2022-01-01 08:00:00,8,10,942,21100,3019.8,319.338842922374,2.6,37.8,2.1,0.0,-3.8,5,1,94.56
797913,10976,2022-01-01 09:00:00,9,10,942,21100,3313.76,319.338842922374,3.5,26.0,1.6,0.0,-2.8,5,1,103.77
797914,10976,2022-01-01 10:00:00,10,10,942,21100,3377.28,319.338842922374,4.2,21.3,1.5,0.0,-0.9,5,1,105.76
797915,10976,2022-01-01 11:00:00,11,10,942,21100,3416.0,319.338842922374,4.5,19.9,0.9,0.0,1.3,5,1,106.97
797916,10976,2022-01-01 12:00:00,12,10,942,21100,3370.52,319.338842922374,4.8,18.3,1.6,0.0,3.2,5,1,105.55
797917,10976,2022-01-01 13:00:00,13,10,942,21100,3324.44,319.338842922374,5.2,19.8,1.0,0.0,3.2,5,1,104.1
797918,10976,2022-01-01 14:00:00,14,10,942,21100,3229.56,319.338842922374,5.3,22.8,1.8,0.0,3.9,5,1,101.13
797919,10976,2022-01-01 15:00:00,15,10,942,21100,3095.6,319.338842922374,5.6,22.8,1.6,0.0,4.5,5,1,96.94
797920,10976,2022-01-01 16:00:00,16,10,942,21100,3022.48,319.338842922374,6.0,23.1,1.1,0.0,4.4,5,1,94.65
