Index,num,tm,hh24,n,stn,sum_qctr,sum_load,n_mean_load,nph_ta,nph_hm,nph_ws_10m,nph_rn_60m,nph_ta_chi,weekday,week_name,elec
8761,5565,2020-01-01 01:00:00,1,58,184,42250,4468.72,79.7760509704164,2.3,65.8,1.7,0.0,-0.3,2,0,96.58
8762,5565,2020-01-01 02:00:00,2,58,184,42250,4101.0,79.7760509704164,2.5,69.7,1.8,0.0,-0.2,2,0,88.63
8763,5565,2020-01-01 03:00:00,3,58,184,42250,3724.6,79.7760509704164,2.8,69.5,2.3,0.0,-0.2,2,0,80.5
8764,5565,2020-01-01 04:00:00,4,58,184,42250,3484.4,79.7760509704164,2.8,66.0,1.6,0.0,0.5,2,0,75.31
8765,5565,2020-01-01 05:00:00,5,58,184,42250,3409.12,79.7760509704164,3.0,66.1,1.6,0.0,0.5,2,0,73.68
8766,5565,2020-01-01 06:00:00,6,58,184,42250,3474.56,79.7760509704164,3.0,68.4,3.3,0.0,-0.6,2,0,75.09
8767,5565,2020-01-01 07:00:00,7,58,184,42250,3616.84,79.7760509704164,2.9,66.3,2.9,0.0,-0.6,2,0,78.17
8768,5565,2020-01-01 08:00:00,8,58,184,42250,3825.6,79.7760509704164,3.0,65.8,2.4,0.0,0.1,2,0,82.68
8769,5565,2020-01-01 09:00:00,9,58,184,42250,4222.6,79.7760509704164,3.5,65.4,1.6,0.0,1.3,2,0,91.26
8770,5565,2020-01-01 10:00:00,10,58,184,42250,4588.96,79.7760509704164,3.9,64.6,1.7,0.0,1.8,2,0,99.18
8771,5565,2020-01-01 11:00:00,11,58,184,42250,4712.44,79.7760509704164,4.5,62.3,1.7,0.0,2.7,2,0,101.85
8772,5565,2020-01-01 12:00:00,12,58,184,42250,4767.92,79.7760509704164,4.9,60.7,1.7,0.0,3.2,2,0,103.05
8773,5565,2020-01-01 13:00:00,13,58,184,42250,4756.08,79.7760509704164,5.3,61.5,1.8,0.0,3.8,2,0,102.79
8774,5565,2020-01-01 14:00:00,14,58,184,42250,4752.36,79.7760509704164,5.8,60.4,2.2,0.0,3.9,2,0,102.71
8775,5565,2020-01-01 15:00:00,15,58,184,42250,4639.08,79.7760509704164,5.7,62.5,2.4,0.0,3.4,2,0,100.26
8776,5565,2020-01-01 16:00:00,16,58,184,42250,4736.4,79.7760509704164,6.0,63.8,2.8,0.0,3.6,2,0,102.36
8777,5565,2020-01-01 17:00:00,17,58,184,42250,4807.12,79.7760509704164,6.1,64.4,2.0,0.0,4.4,2,0,103.89
8778,5565,2020-01-01 18:00:00,18,58,184,42250,5368.6,79.7760509704164,6.2,62.6,2.3,0.0,4.2,2,0,116.03
8779,5565,2020-01-01 19:00:00,19,58,184,42250,5618.36,79.7760509704164,6.3,63.6,1.7,0.0,4.9,2,0,121.43
8780,5565,2020-01-01 20:00:00,20,58,184,42250,5733.84,79.7760509704164,6.3,63.1,1.8,0.0,4.7,2,0,123.92
8781,5565,2020-01-01 21:00:00,21,58,184,42250,5607.92,79.7760509704164,6.5,62.7,1.9,0.0,4.7,2,0,121.2
8782,5565,2020-01-01 22:00:00,22,58,184,42250,5555.76,79.7760509704164,6.4,64.1,1.6,0.0,5.1,2,0,120.07
8783,5565,2020-01-01 23:00:00,23,58,184,42250,5263.84,79.7760509704164,6.4,64.6,1.0,0.0,6.4,2,0,113.76
8784,5565,2020-01-02 00:00:00,24,58,184,42250,4924.76,79.7760509704164,6.3,66.3,1.3,0.0,5.3,3,0,106.44
8785,5565,2020-01-02 01:00:00,1,58,184,42250,4358.52,79.7760509704164,6.3,67.5,1.0,0.0,5.4,3,0,94.2
8786,5565,2020-01-02 02:00:00,2,58,184,42250,3832.16,79.7760509704164,5.9,69.9,0.4,0.0,5.9,3,0,82.82
8787,5565,2020-01-02 03:00:00,3,58,184,42250,3488.88,79.7760509704164,5.3,72.1,0.6,0.0,5.3,3,0,75.4
8788,5565,2020-01-02 04:00:00,4,58,184,42250,3336.08,79.7760509704164,5.1,74.8,1.8,0.0,3.4,3,0,72.1
8789,5565,2020-01-02 05:00:00,5,58,184,42250,3274.96,79.7760509704164,5.9,72.4,2.3,0.0,4.0,3,0,70.78
